SMILES,RDL_score,QED,STEP,TERMINATED
C[C@H](Nc1ccc2c(c1)OCO2)[C@@H](O)[C@H](O)[C@H](C)Nc1c(O)cc2oc(C(C)(N)/C=C/C=O)c(O)c(=O)c2c1O,0.24, 0.10101372389453803),5851,TRUE
CC(N)(/C=C/C=O)C1CCCC(Oc2nc3ccc(C[C@H](N)C=O)cc3c3cc(-c4ccccc4)ccc23)C1,0.24, 0.1702273138366308),5858,TRUE
CCOC1CC2CCCCC2CN1c1cc(C(C)(N)/C=C/C=O)oc1-c1cc(B(O)O)cc([N+](=O)[O-])c1,0.24, 0.1516929603697428),5865,TRUE
NCc1c(F)c(F)cc(F)c1C[C@H](N)C(=O)C=O,0.24, 0.44962839949018857),5872,TRUE
CCC(N)(Oc1cccnc1)C1=C(O)OC(N[C@@H](C)C(=O)C(=O)Oc2ccc(O)cc2)CC1=O,0.24, 0.1806324630929155),5879,TRUE
CC[C@@H](C=O)NC(C)(/C=C/C(=O)NC(C=O)N(c1ccccn1)[C@@H](C=O)CC(C)C)N(CC)CC(C)C,0.24, 0.17438501696568745),5886,TRUE
CC(/C=C/C=O)(N[C@@H]1OC1Oc1nc2ccccc2c2cc(-n3nnc4ccccc43)ccc12)Oc1ccc(O)cc1,0.24, 0.08252860269738908),5893,TRUE
CCC(c1nc(-c2ccc(Oc3nc4ccccc4c4ccccc34)cc2C(C)(N)/C=C/C=O)c[nH]1)c1ccccc1/C=C/C=O,0.24, 0.08727226266165589),5900,TRUE
N#Cc1cc(CC(N)/C=C/C=O)cc(C(CC=O)(Oc2nc3ccccc3c3ccccc23)c2ccc(Cl)cc2)c1,0.24, 0.11967280763335994),5907,TRUE
CC(N)(/C=C/C=O)c1oc2cc(O)c(-c3ccc4[nH]cnc4c3N3CCn4cnnc4C3)c(O)c2c(=O)c1O,0.24, 0.16484872864036731),5914,TRUE
N[C@@H](CC1CC1CC1CCOC1=O)C(=O)C=O,0.24, 0.4021874044066513),5921,TRUE
Cc1csc(SCc2cccc(O[C@@H](C)[C@H](N)C=O)c2Cl)c1C[C@H](N)C(=O)C=O,0.24, 0.3046250985614578),5928,TRUE
N[C@@H](CC1CC(c2cccc3c2[nH]cc3)OC1=O)C(=O)C=O,0.24, 0.49141284530163953),5935,TRUE
CC[C@H](NC(c1ccc2[nH]ccc2c1)[C@H](N)C(=O)C(=O)N[C@H]1c2ccccc2C[C@H]1O)C(=O)OC(C)C,0.24, 0.20922299600445443),5942,TRUE
CC(C)(C)Nc1c(C[C@H](N)C(=O)C=O)cc([N+](=O)[O-])cc1B(O)O,0.24, 0.16430818358069305),5949,TRUE
N[C@@H](Cc1cccc(-c2cc([N+](=O)[O-])ccc2Oc2nc3ccccc3c3ccccc23)c1[N+](=O)[O-])C(=O)C=O,0.24, 0.08630622613257238),5956,TRUE
C[C@@H](C=O)C[C@H](O)[C@@H](N(C(=O)/C=C/c1ccc([N+](=O)[O-])cc1)C(C)(N)/C=C/C=O)C(C)(C)NC1CCCC1c1nc2cc[nH]cc-2n1,0.24, 0.06208317178902896),5963,TRUE
CC(=O)N(C(C)C(C)(O)NS(=O)(=O)c1ccc(N)cc1)C(C)(/C=C/C=O)NC(=O)[C@@H](N)C(C)(C)C,0.24, 0.1296633207473041),5970,TRUE
CC(/C=C/C=O)(NCC=O)NS(=O)(=O)c1ccc(N)cc1Oc1nc2ccccc2c2ccccc12,0.24, 0.09823752694851702),5977,TRUE
C[C@H](NC(=O)/C=C/C(N)Cc1cccc(Cc2ccccc2)c1)C(=O)c1nc(-c2ccc(/C=C/C=O)cc2)cs1,0.24, 0.1394637201366669),5984,TRUE
CC(/C=C/C=O)NC(=O)c1cc2cc(F)cc(C[C@H](N)C(=O)Oc3nc4ccccc4c4ccccc34)c2[nH]1,0.24, 0.11983939619240438),5991,TRUE
CC(/C=C/C=O)(NCc1ccc(Cl)cc1)Oc1nc2ccccc2c2cc(-c3ccoc(=O)c3-c3ccccc3)ccc12,0.24, 0.08005548652167264),5998,TRUE
CC(=O)N1CCN[C@H](C(OC(=O)C(=O)[C@H](C)N[C@@H]2C[C@H]2NC(=O)c2cc3ccccc3[nH]2)C(C)C)C1,0.24, 0.2998095273943393),6005,TRUE
CCc1cccc2nc(OC3O[C@H]3CC(N)(/C=C/C(=O)OCC(C)C)c3cccc4ccccc34)c3ccccc3c12,0.24, 0.08407872854220065),6012,TRUE
C[C@@H](O)[C@H](NC(N)[C@H](N)C(=O)C(=O)Oc1nc2ccccc2c2cc(N)ccc12)C(=O)[C@H](C=O)CO,0.24, 0.03486103826000621),6019,TRUE
C[C@H](N)/C=C/C(=O)N/C(C=O)=C\c1oc(C[C@H](N)C(=O)C=O)cc1Oc1nc2ccccc2c2ccccc12,0.24, 0.11512967813790884),6026,TRUE
[H]N([C@@H](C)C(=O)C(=O)Oc1nc2ccccc2c2ccccc12)[C@@H](CCc1cc(O)c(O)c(O)c1)C(=O)O,0.24, 0.0989232022763824),6033,TRUE
CC(/C=C/C(=O)N1C[C@H]2[C@@H](C1)C2(C)C)(NCc1csc(N)n1)Oc1nc2ccccc2c2ccccc12,0.24, 0.20564472755784993),6040,TRUE
CC(C)(C)N(CC=O)C(C)(/C=C/C=O)N(C=O)c1ccc(N2CCCC2Cc2ccccc2)cc1,0.24, 0.26938187276812375),6047,TRUE
Cc1c(-c2cc3c(cc2CC(=O)c2ccco2)c(OC(C)(N)/C=C/C=O)nc2ccccc23)ccc(NC2CCCCC2)c1O,0.24, 0.037107676987094426),6054,TRUE
Cc1c2nccc(C[C@H](N)C(=O)C(N)=O)c2ccc1,0.24, 0.7774202711921914),6061,TRUE
C[C@H](N)C(=O)C(=O)N(c1nnc2n1CC(c1ccc(-c3cccc(O)c3)cc1)NC2)[C@H](C=O)CCCC(N)=O,0.24, 0.20568210942005377),6068,TRUE
C[C@H]1O[C@@H](OC(=O)/C=C/C(C)(N)N[C@H](C=O)CCC(CN)Nc2ccc(Cl)cc2)[C@@H](O)[C@@H](O)[C@@H]1O,0.24, 0.08321582120693324),6075,TRUE
C[C@H](N)C(=O)C(=O)N(c1cc(C2(N)CC2Oc2nc3ccccc3c3ccccc23)oc(=O)c1)[C@H](C=O)CC(N)=O,0.24, 0.14358054339872026),6082,TRUE
CC(C)C[C@@H](C(=O)NC(C)(/C=C/C=O)Oc1nc2cc(Oc3cccc4[nH]c(C=O)cc34)ccc2c2ccccc12)C(=O)[C@@H](N)[C@@H](C)O,0.24, 0.040449955555079506),6089,TRUE
CC(=O)[C@H](CCC(=O)Nc1ccccc1Cl)NC(c1ccc2c(c1)OCO2)(c1ccc2[nH]cnc2c1)[C@H](N)C(=O)C=O,0.24, 0.14325530607921685),6096,TRUE
Cc1cccc(C)c1CC(=O)n1ccc2cc(C[C@H](N)C(=O)C(N)=O)ccc21,0.24, 0.6410455344316487),6103,TRUE
NC(Cc1ccc(-n2c(S)nnc2C[C@H](N)C(=O)C=O)c(CC[C@H](N)C(=O)O)c1)C(=O)C(F)(F)F,0.24, 0.13976003965551695),6110,TRUE
[H]C(=O)C(=O)[C@@H](N)Cc1cccc(N)c1,0.24, 0.3962067783984827),6117,TRUE
C[C@H](N)C(=O)C(=O)Oc1nc2c(N3CCCC3)c(CS(=O)C3=[SH]c4ncccc4N3)ccc2c2ccccc12,0.24, 0.10656507667552646),6131,TRUE
CC(N)(/C=C/C(=O)N1C[C@H]2[C@@H](C1)C2(C)C)Oc1nc2ccccc2c2cccc(On3nnc4ccccc43)c12,0.24, 0.19110993166905985),6145,TRUE
CC(/C=C/C=O)(NC(=O)c1nc2ccccc2[nH]1)c1cccc2cc(-c3ccc(-c4cc(O)c(O)c(O)c4)cc3)[nH]c12,0.24, 0.08160470242979577),6152,TRUE
C=C(CC)C(=O)c1cc(-c2cc3c(C(=O)/C=C(\O)C(=O)O)cc(C[C@H](N)C(=O)C=O)cc3[nH]2)oc1C(=O)CF,0.24, 0.08243692045942633),6159,TRUE
CCC(c1nc2ccn(C)cc-2n1)[C@H](N)C(=O)C(=O)N(C(=O)CC(C)C)[C@H](C(N)=O)[C@H](C)O,0.24, 0.4133996903887964),6166,TRUE
CC(=O)n1ccc2cc(-c3cc4cc(C[C@H](N)C(=O)C=O)ccc4[nH]3)ccc21,0.24, 0.4148161238498236),6180,TRUE
C[C@H](N)C(=O)C(=O)Oc1nc2c(CC(=O)c3cc([C@@H]4CN(c5ccc(F)cc5Cl)CCN4)co3)cccc2c2ccccc12,0.24, 0.10524597508804553),6187,TRUE
CC(C)[C@@H](C=O)c1ccc2c(OC(C)(/C=C/C=O)NC(=O)c3nc4ccccc4[nH]3)nc3ccccc3c2c1,0.24, 0.11509321621729415),6194,TRUE
CCC[C@H](N)C(=O)C(=O)N[C@@H](C)C(=O)C(=O)N(c1nc2c(C)cccc2c(O)c1C[C@@H](C=O)C[C@@H](C)O)[C@@H](C)[C@@H](C)O,0.24, 0.14937317778997167),6201,TRUE
CNC(=O)/C=C/C(C)N[C@H](C=O)C(CCCN)Oc1nc2ccccc2c2c(-c3cccc(Cl)c3)cccc12,0.24, 0.13096402354053815),6208,TRUE
C[C@H](N)C(=O)C(=O)Oc1nc2ccccc2c2c(N3CCCNC3=O)ccc(-c3ccc4[nH]c(C=O)cc4c3)c12,0.24, 0.12837676625481242),6215,TRUE
Cc1c(O)ccc(C=O)c1C1(c2cncs2)CC[C@H]2[C@@H](C[C@@H](N[C@@H](C)C(=O)C(N)=O)O[C@@H]2C)C1,0.24, 0.4058065444327542),6222,TRUE
CC(N)/C=C/C(=O)N[C@@H](C)C(=O)c1nc(C(N[C@H](C=O)[C@H](C)O)c2ccc3c(c2)OCO3)c(CCC=O)s1,0.24, 0.15402814856265615),6229,TRUE
CC(=O)n1ccc2cc(-c3c(C[C@H](N)C(=O)C=O)oc4cc(O)c(Nc5ccc(-c6ccccc6)cc5)c(O)c4c3=O)ccc21,0.24, 0.0996389211994734),6236,TRUE
[H]N(C(=O)C(=O)[C@H](C)NC(=O)[C@H](CC(C)C)C(=O)[C@@H](N)[C@@H](C)O)C(=O)c1ccco1,0.24, 0.2973771687431091),6243,TRUE
CC(/C=C/C=O)(NCc1cccc(C#N)c1)N[C@H](C=O)CC(C=O)Oc1nc2ccccc2c2ccccc12,0.24, 0.11739080823584226),6250,TRUE
C[C@H](Nc1cc(N[C@@H](Cc2cc3ccccc3s2)[C@@H](O)[C@H](O)[C@H](C)NC(C)(N)/C=C/C=O)sc1C=O)C(=O)C(F)(F)F,0.24, 0.08387829841992535),6257,TRUE
Cc1cccc2c(OC(=O)/C=C/C(C)N)cc(N(c3cnccc3Oc3nc4ccccc4c4ccccc34)[C@H](C=O)CC(N)=O)nc12,0.24, 0.07630125691764866),6264,TRUE
N[C@@H](Cc1ccc2c(ccn2C(=O)Cc2oc3cc(O)cc(O)c3c(=O)c2O)c1)C(=O)C(=O)Oc1ccc(O)cc1,0.24, 0.11152594288634643),6271,TRUE
[H]N[C@@H](Cc1ccc(F)cc1[H])C(=O)C=O,0.24, 0.5606098895947274),6278,TRUE
N[C@@H](Cc1c(-c2ccc(O)c(O)c2)c(-c2cccc([N+](=O)[O-])c2)cc2[nH]c(C=O)c(-c3ccc(O)cc3)c12)C(=O)C=O,0.24, 0.055532219741685616),6285,TRUE
C[C@H](O)[C@@H](C=O)Nc1ncc(-c2cc(-c3cccnc3)cc3c2c(C(C)(N)/C=C/C=O)nc2ccccc23)s1,0.24, 0.13798704851240143),6292,TRUE
CCC(N1CCn2cnnc2C1)C(Oc1nc2ccccc2c2ccccc12)(O[C@H]1CCOC1)[C@H](NC(=O)C(=O)[C@H](C)N)C(=O)OC(C)C,0.24, 0.09206740154862218),6299,TRUE
CC(=O)N(C(=O)c1cc(C)on1)c1ccc2c(OC(C)(N)/C=C/C=O)nc3cccc(Cn4ccc5ncnc-5c4)c3c2c1,0.24, 0.11642156802184261),6306,TRUE
CC(N)(/C=C/C=O)NCc1c(CC=O)ccc2[nH]c(C=O)c(-c3ncsc3-c3ccc4c(c3)OCO4)c12,0.24, 0.16466177285180714),6313,TRUE
CC(/C=C/C(=O)N(C(=O)c1cc(C[C@H](N)[C@@H](C)O)co1)c1nc2ccccc2[nH]1)NC(=O)c1cnccn1,0.24, 0.24047403089269262),6320,TRUE
CC(C)NC(C)(/C=C/C=O)c1ccnn1C(c1c(O)c(Cl)cc(Cl)c1Cl)C1([C@H]2CN2)CCOC1=O,0.24, 0.14439916626421895),6327,TRUE
CC(N)(/C=C/C=O)n1nnc2cc(Oc3nc4cc(C[C@H](N)/C=C/C=O)ccc4c4ccccc34)ccc21,0.24, 0.1741110461603418),6341,TRUE
CC(N)(/C=C/C=O)C1C(=O)OCC1Oc1nc2cc(-c3cccc4ccccc34)ccc2c2ccccc12,0.24, 0.14064304247154544),6348,TRUE
CC(C)[C@H](NC(=O)C(=O)[C@@H](N)Cc1cccc([C@@H]2OC2NC(C)(C)C)c1)[C@@H](O)C[C@@H](C)C=O,0.24, 0.2111385831192127),6355,TRUE
Cc1c(-c2cc(CC(N)/C=C/C(=O)N(C)C)cn2C)ccc(Oc2nc3ccccc3c3ccccc23)c1O,0.24, 0.21167094372556955),6362,TRUE
CC(C)(C)[C@H](N)C(=O)N[C@@H](Cc1cccc(N)c1CC1CCOC1=O)C(=O)C=O,0.24, 0.2488715602682631),6369,TRUE
CCC(C)(C)NC(CC(=O)O)NC(C)(/C=C/C=O)OCc1cccc2cc(Oc3cccc(Cl)c3Cl)[nH]c12,0.24, 0.10186655385244107),6376,TRUE
Nc1cc(C[C@H](N)C(=O)C=O)c(C[C@@H](N)CC=O)cc1/C=C/C(=O)Oc1nc2ccccc2c2ccccc12,0.24, 0.06666984478530044),6383,TRUE
CC1(C)[C@H]2CN(C(=O)/C=C/C(N)(Cc3c(F)cc(F)cc3F)N[C@H](C=O)CCCC(=O)NC(=O)/C=C/c3ccc(Cl)cc3F)C[C@H]21,0.24, 0.12621227533410526),6397,TRUE
C[C@@H]1C[C@H]2CCCC[C@@H]2C(c2cccc(C#N)c2)(C(F)F)N1c1cc(O)ccc1C[C@H](N)C(=O)C=O,0.24, 0.4336430898919373),6404,TRUE
O=CCN[C@@H](Cc1cccc(Cl)c1)C(=O)C=O,0.24, 0.5769660855157063),6411,TRUE
C=C(CC)C(=O)C1CCNC(=O)N1C(=O)C(=O)[C@H](C)N,0.24, 0.5331041815887992),6418,TRUE
Nc1ccc(Nc2cc(-c3ccno3)c3c(c2)c(Oc2cncc(CC(N)/C=C/C=O)c2)nc2ccccc23)cc1,0.24, 0.0844281626565933),6425,TRUE
CC(=O)n1c([C@@H]2C[C@H]2N)cc2cc(-c3c(CC(=O)[C@@H](N)CCC=O)cccc3SC(C)(N)/C=C/C=O)ccc21,0.24, 0.13453795163496457),6432,TRUE
C[C@H](N)C(=O)C(=O)N(C(=O)/C=C/c1ccc2c(c1)OCO2)[C@@H](CC(N)=O)C(=O)Oc1nc2ccccc2c2ccccc12,0.24, 0.12852960685110276),6439,TRUE
N[C@@H](Cc1ccc(C=O)s1)C(=O)C(=O)Oc1nc2ccccc2c2c(-c3cccnn3)cccc12,0.24, 0.16085875074923645),6446,TRUE
CCCC[C@@H](C=O)Nc1c(O)ccc(-c2cc3cc(C[C@H](N)C(=O)C=O)ccc3n2C(C)=O)c1C[C@H](N)CCC=O,0.24, 0.11590434618585065),6453,TRUE
C[C@@H](O)[C@H](Nc1ccc2c(c1)nnn2-c1c(O)cc2occ(C[C@H](N)C(=O)C=O)c(=O)c2c1O)C(=O)[C@H](C=O)CO,0.24, 0.06906653941793621),6460,TRUE
[H]NC(C(=O)[C@@H](NC(=O)C(=O)[C@H](C)NC1CCCCC1)C(C)C)[C@@H](C)C(=O)N[C@@H](C=O)CO,0.24, 0.17826801889718186),6467,TRUE
CC(C)N[C@@H](C)C(=O)C(=O)N[C@H](C=O)C(Oc1cncc(Br)c1)C(C)(C)Oc1nc2ccccc2c2ccccc12,0.24, 0.13176952594374441),6474,TRUE
CC(N)(/C=C/C=O)C1CC(N2C[C@@H]3[C@H](C2C2C(=O)OCC2c2ccccn2)C3(C)Cc2cccnn2)C1,0.24, 0.3337860104945238),6481,TRUE
CNC(=O)/C=C/C(C)(N)c1c(Cl)c(Cl)c(-c2c(F)cc(F)cc2F)c(N[C@@H](C)C=O)c1-c1ccc(Cl)cc1,0.24, 0.19923127555820688),6488,TRUE
N[C@@H](Cc1c([C@H]2CO2)ccc2c1c(O)nc1ccccc12)C(=O)C=O,0.24, 0.3184556862157742),6495,TRUE
CCCC1=C(O)OC(C(C)(O)C(C)NC(CC=O)[C@@H](C=O)NC(=O)C(=O)[C@H](C)NCc2cccc(C#N)c2)CC1=O,0.24, 0.1399353446436254),6502,TRUE
CC(C)[C@H](N)[C@@H](O)C[C@@H](C)C(=O)N(C(NCC=O)c1ccc(Cl)cc1)[C@@H](C)C(=O)C(N)=O,0.24, 0.1890345830146147),6509,TRUE
C[C@@H](C=O)N(Cc1ccc([N+](=O)[O-])cc1)[C@@H](Cc1ccc(O)cc1)C(=O)C=O,0.24, 0.28824752555176947),6516,TRUE
[H]c1c(N)c(-c2ccccc2)cc2c1c(OC(=O)C(=O)[C@H](C)N)nc1ccccc12,0.24, 0.24101010134253198),6523,TRUE
CC(N)(/C=C/C(=O)Nc1cc(Cl)cc(Cl)c1-c1ccccc1N)c1ccc(-c2ccc(/C=C/C=O)cc2)cc1,0.24, 0.11899612836076377),6530,TRUE
CC[C@@H](C1=C(O)OCCC1=O)c1ccc(-c2ccc3c(c2)[C@H](NC(C)(N)/C=C/C(=O)OC(C)(C)C(N)=O)[C@H](O)C3)cc1,0.24, 0.161347841902113),6537,TRUE
N[C@@H](C[C@@H]1[C@H]2CCC(Oc3nc4ccccc4c4ccccc34)[C@H]2CN1C(=O)c1ccco1)C(=O)C=O,0.24, 0.23475343237482685),6544,TRUE
C[C@H](N)C(=O)C(=O)Oc1nc2c(-c3nccs3)ccc(-c3cccc(/C=C/C=O)c3)c2c2ccccc12,0.24, 0.10574941536000991),6551,TRUE
Cc1c(-c2ccno2)ccc2c(OC(=O)C(=O)[C@H](C)N)cc(Oc3nc4ccccc4c4ccccc34)nc12,0.24, 0.17212318081755326),6558,TRUE
CC(NC(C)(N)/C=C/C(=O)OC(C)(C)C(=O)NC(=O)/C=C/c1ccc(Cl)cc1F)C(=O)C(F)(F)F,0.24, 0.19723297836410267),6572,TRUE
Cn1ccc2nc(Cc3csc(CC(N)(/C=C/C(=O)Oc4cccc5[nH]c(C=O)cc45)N[C@H](C=O)CCCCN)n3)nc-2c1,0.24, 0.03414090160027755),6579,TRUE
Cc1cc([C@@H]2C[C@H]2N)cc(C)c1Oc1ccc(CC(N)(/C=C/C=O)c2ccco2)c(Cc2ccccc2)c1,0.24, 0.1960468915652115),6586,TRUE
C[C@@H](C(=O)C(=O)N[C@H]1c2ccc(C3CCCC3)cc2C[C@H]1O)N(C)C(=O)c1nc2ccccc2[nH]1,0.24, 0.47521908456035183),6593,TRUE
[H]NC1CC[C@@H]2[C@@H](CN[C@@H](C)C(=O)C=O)O[C@H](C)C[C@H]2C1Oc1nc2ccccc2c2ccccc12,0.24, 0.3065814909063057),6600,TRUE
N[C@@H](Cc1c(F)cc(F)cc1F)C(=O)C(=O)Oc1nc2cc(C(F)(F)F)ccc2c2ccccc12,0.24, 0.18615616122025685),6607,TRUE
CCCC[C@@H](C=O)Nc1ccc2ccccc2c1-c1cc2c(N[C@H](C=O)CCC=O)cc(C[C@H](N)C(=O)C=O)cc2[nH]1,0.24, 0.1051899300242433),6614,TRUE
N[C@@H](Cc1c[nH]nn1)C(=O)C(=O)Oc1nc2c(Oc3ccccc3)cccc2c2cc(-c3ccc(O)c(O)c3)ccc12,0.24, 0.09011801134522986),6621,TRUE
Nc1cc(C[C@H](N)C(=O)C=O)cc(Nc2ccccc2)c1,0.24, 0.4251870778746218),6628,TRUE
CC(N)(/C=C/C=O)c1ccc(CS(=O)C2=[SH]c3ncccc3N2)c(O)c1Cc1ccc2[nH]cnc2c1,0.24, 0.10923757606264238),6635,TRUE
N[C@@H](CC1CC2CCCCC2([C@H]2CN2)C(Oc2nc3ccccc3c3ccccc23)N1C[C@H]1OCC[C@H]2CCCC[C@H]12)C(=O)C=O,0.24, 0.14082905793157924),6642,TRUE
CC(N)/C=C/C(=O)Oc1nc2ccc(-c3cccc(Nc4ccc(-c5ccccc5)cc4)n3)cc2c2ccccc12,0.24, 0.12360861311693593),6649,TRUE
CC[C@@H](C)[C@@H](C=O)N(C(=O)/C=C/C(C)(N)Sc1ncccn1)c1cc([C@@H]2CNCCN2)c(N)cc1Oc1ccccc1,0.24, 0.06086700261328764),6656,TRUE
Cn1nccc1-c1ccc(OC(C)(/C=C/C=O)NC(=O)c2cc([C@@H]3C[C@H]4CCCC[C@@H]4CN3)co2)cc1,0.24, 0.2608459674231109),6663,TRUE
CC(C)CC(=O)N[C@@H](CC(N)=O)C(=O)N(C=O)C(=O)CNC(C)(/C=C/C=O)NC(C)C(C)O,0.24, 0.10600851443303115),6670,TRUE
[H]N[C@H](C(=O)[C@@H](CC(C)(C)Oc1nc2ccccc2c2ccccc12)C(=O)N[C@@H](C)C(=O)C=O)[C@@H](C)O,0.24, 0.15913557268919767),6677,TRUE
Cc1csc(SC[C@@H]2C[C@@H]3CCCC[C@@H]3CN2)c1C[C@H](NC(=O)[C@@H](N)C(C)(C)C)C(=O)C=O,0.24, 0.2765667579549082),6684,TRUE
CC(C)COC1CCC[C@@H]2C[C@@H](C[C@@H]3CCCN3)N(C(C)C(=O)NC(/C=C/C=O)Cc3cccc(Cl)c3)C[C@@H]12,0.24, 0.2734587328098904),6691,TRUE
Cc1cc(OC(=O)/C=C/C(C)(N)N[C@H](C=O)CC(C=O)N[C@H](C=O)[C@H](C)O)cc(N2CCOCC2)c1,0.24, 0.08594784510172859),6698,TRUE
Cc1cccc2c(Oc3cc(CC(N)/C=C/C=O)cc4c3OC(Oc3nc5ccccc5c5ccccc35)O4)ccnc12,0.24, 0.12127349774439959),6705,TRUE
Nc1ccc(Nc2c(S(=O)(=O)NC(=O)C(=O)[C@@H](N)Cc3ccccc3N)ccc(N)c2C2CCC2)cc1,0.24, 0.18042786860931073),6712,TRUE
[H]OC1(c2ccccc2)CCCC1Nc1cc(C[C@H](N)C(=O)C=O)oc1C=O,0.24, 0.4761109292913908),6726,TRUE
Cn1ccc(C(N)(/C=C/C(=O)Oc2nc3ccccc3c3cccc(CN4C(=O)C(=O)c5cc(F)ccc54)c23)Cc2ccc(C=O)o2)c1,0.24, 0.07118016783399723),6733,TRUE
[H]c1cc2c(nc(C)n2C)c([H])c1-c1cc(C=O)sc1C[C@H](N)C(=O)C=O,0.24, 0.5393365646673987),6740,TRUE
CC(N)/C=C/C(=O)Oc1nc2ccccc2c2c(N3CCn4cnnc4C3)ccc(-c3ccccc3[N+](=O)[O-])c12,0.24, 0.11011839840839237),6747,TRUE
Cc1noc(C)c1C(C)(/C=C/C(=O)Oc1nc2ccccc2c2ccccc12)N(C(=O)CCCCCN)C(=O)[C@@H](N)CO,0.24, 0.09616044318330899),6754,TRUE
CC(/C=C/C=O)(NCc1ccccc1)c1ccccc1NC(=O)[C@@H](N)C(C)(C)n1[nH]c(=O)c2ccccc2c1=O,0.24, 0.18038893172036596),6761,TRUE
Nc1ccc(C[C@H](N)C(=O)C=O)c(-c2cc(=O)c3c(O)cc(O)cc3o2)c1Nc1ccccn1,0.24, 0.1557182934149476),6768,TRUE
N[C@@H](Cc1c(F)cc(F)c(Cc2nnccc2Oc2ccc(O)cc2)c1F)C(=O)C=O,0.24, 0.4161252654028158),6775,TRUE
C[C@H](Nc1cc(C[C@H](N)C(=O)C=O)sc1C=O)C(=O)Oc1nc2ccccc2c2cccc(N[C@H](C=O)CCCCN)c12,0.24, 0.04837569189850528),6782,TRUE
[H]C1CCCC2C[C@@H](C[C@H](N)C(=O)C=O)NCC12c1ccccc1,0.24, 0.643603733737338),6789,TRUE
CCCc1cc(C)c(Oc2nc3cc(-c4cccc5c4C[C@@H](O)[C@H]5NC(C)(N)/C=C/C=O)ccc3[nH]2)c(C)c1,0.24, 0.12935789473535098),6810,TRUE
CNC(C)(/C=C/C=O)N(Cc1ncsc1-c1cccc(C)c1)[C@H](C=O)CCCCNC(=O)c1cnc(C)cn1,0.24, 0.12721549149594583),6817,TRUE
[H]N[C@@H](Cc1cc2cc[nH]c2cc1[H])C(=O)C=O,0.24, 0.5860996805754763),6824,TRUE
Cc1oc(=O)oc1CNC(C)(/C=C/C(=O)Nc1ccc(N)cc1)Oc1cnc(Oc2nc3ccccc3c3ccccc23)c(Cl)c1,0.24, 0.06358432561145091),6831,TRUE
C=C(CC)C(=O)c1c(OCc2ccc3c(c2)nc(C)n3C)ccc2c1nc(OC(=O)C(=O)[C@H](C)N)c1ccccc12,0.24, 0.0879729726434483),6838,TRUE
N#Cc1cc(CC(N)/C=C/C=O)cc(-c2ccc(Oc3nc4ccccc4c4c(-c5ccc(Br)cc5)cccc34)cc2)c1,0.24, 0.10392318609441346),6845,TRUE
[H]C1(C(c2cc(=O)c3c(O)cc(O)cc3o2)[C@H](N[H])C(=O)C=O)CCCC1,0.24, 0.5535142001668945),6852,TRUE
COC(C)(/C=C/C=O)N[C@@H]1C[C@H]2CCCC(N(C(=O)c3cc4ccccc4[nH]3)S(=O)(=O)C3CC3)[C@@H]2[C@@H](C)O1,0.24, 0.2811217770761415),6859,TRUE
Cc1ccc(C(NC(C)C(=O)C(F)(F)F)[C@H](N)C(=O)C=O)cc1C(Oc1ccccc1)C(=O)c1ccco1,0.24, 0.2054084518601029),6866,TRUE
CC(C)(C)C1CCNC(=O)N1C1CC(C[C@H](N)C(=O)C=O)C(=O)O1,0.24, 0.4192072729824568),6873,TRUE
C[C@@H](O)[C@H](NC1CC1(Cc1ccc([N+](=O)[O-])c(-c2c[nH]cn2)c1)S(=O)(=O)NC(C)(N)/C=C/C=O)C(=O)[C@H](C=O)CO,0.24, 0.0346641400346018),6880,TRUE
C[C@@H](O)C[C@H](C=O)Cc1ccc(O)c([N+](=O)[O-])c1C[C@H](N)C(=O)C=O,0.24, 0.23051005512629855),6887,TRUE
C[C@H](N[C@H](C=O)CCCCN)C(=O)C(=O)NC1CC2CC(Oc3nc4ccccc4c4ccccc34)CCC2CN1,0.24, 0.11498644353660936),6894,TRUE
CC[C@@H](C=O)N(C(=O)/C=C/C(C)(N)OC(C=O)[C@H]1NCCC1CC(=O)[C@@H](N)CCC=O)c1ccon1,0.24, 0.1562878300704471),6901,TRUE
[H]N[C@@H](C)C(=O)C(=O)Oc1nc2ccccc2c2ccccc12,0.24, 0.45474966002437955),6908,TRUE
CC[C@@H](N)CC1C[C@@H]2[C@H](O1)OC(N[C@H](C=O)[C@@H](C)O)[C@@H]2OC(=O)C(=O)[C@H](C)NC(Nc1ccc(Cl)cc1)C(N)C(C)O,0.24, 0.0567384320481263),6915,TRUE
CC(N)(/C=C/C(=O)Nc1ccc(C(=N)N)cc1C(C=O)OP(=O)(O)O)Oc1nc2ccccc2c2ccccc12,0.24, 0.03151533181474122),6922,TRUE
C=C[C@@H]1C[C@H]1N(C(C)=O)c1c(S(=O)(=O)NC(=O)C(=O)[C@H](C)N)ccc(N)c1C[C@H]1COC(=O)C1C,0.24, 0.183337133293692),6929,TRUE
N[C@@H](Cc1ccc(F)cc1Oc1nc2ccccc2c2ccccc12)C(=O)C=O,0.24, 0.30715490065633094),6936,TRUE
CSc1cc(C)c(Nc2ccc(CC3CCOC3=O)c3c2c(OC(=O)C(=O)[C@H](C)N)nc2ccccc23)s1,0.24, 0.13299188921715416),6943,TRUE
