Num.,Cpd.,structure,Smilies,Ki,reference,
54,"(S)-2-((((1S,3S,4aR,8aS)-1-((butyl(methyl)amino)methyl)octahydro-1H-isochromen-3-yl)methyl)amino)-3-(1H-imidazol-4-yl)propanal",,O=C[C@H](CC1=CNC=N1)NC[C@H]2O[C@H](CN(CCCC)C)[C@@]3([H])CCCC[C@]3([H])C2,IC50=95 ¦ÌM,"S-i. Yoshizawa, Y. Hattori, K. Kobayashi, K. Akaji, Evaluation of an
octahydroisochromene scaffold used as a novel SARS 3CL protease inhibitor, Bioorganic & Medicinal
Chemistry (2019), doi: https://doi.org/10.1016/j.bmc.2019.115273",
55,"ethyl (5S,8S,11S,E)-8-benzyl-5-isopropyl-3,6,9-trioxo-11-(((S)-2-oxopyrrolidin-3-yl)methyl)-1-phenyl-2-oxa-4,7,10-triazatetradec-12-en-14-oate",,O=C(N[C@@H](C(C)C)C(N[C@@H](CC1=CC=CC=C1)C(N[C@@H](C[C@@H]2CCNC2=O)/C=C/C(OCC)=O)=O)=O)OCC3=CC=CC=C3,2.26 ¦ÌM,"Yang, S.; Chen, S.- J.; Hsu, M.-F.; Wu, J.-D.; Tseng, C.-T. K.;
Liu, Y.-F.; Chen, H.-C.; Kuo, C.-W.; Wu, C.-S.; Chang, L.-W.; Chen,
W.-C.; Liao, S.-Y.; Chang, T.-Y.; Hung, H.-H.; Shr, H.-L.; Liu, C.-Y.;
Huang, Y.-A.; Chang, L.-Y.; Hsu, J.-C.; Peters, C. J.; Wang, A. H.-J.;
Hsu, M.-C. Synthesis, crystal structure, structure-activity relationships,
and antiviral activity of a potent SARS coronavirus 3CL protease
inhibitor. J. Med. Chem. 2006, 49, 4971?4980.",
56,"ethyl (5S,8S,11S,E)-8-isobutyl-5-isopropyl-3,6,9-trioxo-11-(((S)-2-oxopyrrolidin-3-yl)methyl)-1-phenyl-2-oxa-4,7,10-triazatetradec-12-en-14-oate",,O=C(N[C@@H](C(C)C)C(N[C@@H](CC(C)C)C(N[C@@H](C[C@@H]1CCNC1=O)/C=C/C(OCC)=O)=O)=O)OCC2=CC=CC=C2,0.66 ¦ÌM,"Yang, S.; Chen, S.- J.; Hsu, M.-F.; Wu, J.-D.; Tseng, C.-T. K.;
Liu, Y.-F.; Chen, H.-C.; Kuo, C.-W.; Wu, C.-S.; Chang, L.-W.; Chen,
W.-C.; Liao, S.-Y.; Chang, T.-Y.; Hung, H.-H.; Shr, H.-L.; Liu, C.-Y.;
Huang, Y.-A.; Chang, L.-Y.; Hsu, J.-C.; Peters, C. J.; Wang, A. H.-J.;
Hsu, M.-C. Synthesis, crystal structure, structure-activity relationships,
and antiviral activity of a potent SARS coronavirus 3CL protease
inhibitor. J. Med. Chem. 2006, 49, 4971?4980.",
57,"ethyl (5S,8S,11S,E)-5-((S)-1-(tert-butoxy)ethyl)-8-isobutyl-3,6,9-trioxo-11-(((S)-2-oxopyrrolidin-3-yl)methyl)-1-phenyl-2-oxa-4,7,10-triazatetradec-12-en-14-oate",,O=C(N[C@@H]([C@H](C)OC(C)(C)C)C(N[C@@H](CC(C)C)C(N[C@@H](C[C@@H]1CCNC1=O)/C=C/C(OCC)=O)=O)=O)OCC2=CC=CC=C2,0.05 ¦ÌM,"Yang, S.; Chen, S.- J.; Hsu, M.-F.; Wu, J.-D.; Tseng, C.-T. K.;
Liu, Y.-F.; Chen, H.-C.; Kuo, C.-W.; Wu, C.-S.; Chang, L.-W.; Chen,
W.-C.; Liao, S.-Y.; Chang, T.-Y.; Hung, H.-H.; Shr, H.-L.; Liu, C.-Y.;
Huang, Y.-A.; Chang, L.-Y.; Hsu, J.-C.; Peters, C. J.; Wang, A. H.-J.;
Hsu, M.-C. Synthesis, crystal structure, structure-activity relationships,
and antiviral activity of a potent SARS coronavirus 3CL protease
inhibitor. J. Med. Chem. 2006, 49, 4971?4980.",
58,"ethyl (S,E)-4-((S)-3-(4-fluorophenyl)-2-((S)-3-methyl-2-(5-methylisoxazole-3-carboxamido)butanamido)propanamido)-5-phenylpent-2-enoate",,CC1=CC(C(N[C@@H](C(C)C)C(N[C@@H](CC2=CC=C(F)C=C2)C(N[C@@H](CC3=CC=CC=C3)/C=C/C(OCC)=O)=O)=O)=O)=NO1,IC50=39 ¦ÌM,"Shie, J.-J.; Fang, J.-M.; Kuo, T.-H.; Kuo, C.-J.; Liang, P.-H.;
Huang, H.-J.; Wu, Y.-T.; Jan, J.-T.; Cheng, Y.-S. E.; Wong, C.-H.
Inhibition of the severe acute respiratory syndrome 3CL protease by
peptidomimetic alpha, beta-unsaturated esters. Bioorg. Med. Chem.
2005, 13, 5240?5252.",
59,"ethyl (S,E)-4-((S)-2-((S)-3-methyl-2-(5-methylisoxazole-3-carboxamido)butanamido)-3-phenylpropanamido)-5-phenylpent-2-enoate",,CC1=CC(C(N[C@@H](C(C)C)C(N[C@@H](CC2=CC=CC=C2)C(N[C@@H](CC3=CC=CC=C3)/C=C/C(OCC)=O)=O)=O)=O)=NO1,IC50=13 ¦ÌM,"Shie, J.-J.; Fang, J.-M.; Kuo, T.-H.; Kuo, C.-J.; Liang, P.-H.;
Huang, H.-J.; Wu, Y.-T.; Jan, J.-T.; Cheng, Y.-S. E.; Wong, C.-H.
Inhibition of the severe acute respiratory syndrome 3CL protease by
peptidomimetic alpha, beta-unsaturated esters. Bioorg. Med. Chem.
2005, 13, 5240?5252.",
60,"ethyl (S,E)-4-((S)-2-((E)-3-([1,1'-biphenyl]-4-yl)acrylamido)-3-phenylpropanamido)-5-phenylpent-2-enoate",,O=C(N[C@@H](CC1=CC=CC=C1)C(N[C@@H](CC2=CC=CC=C2)/C=C/C(OCC)=O)=O)/C=C/C3=CC=C(C4=CC=CC=C4)C=C3,IC50=10 ¦ÌM,"Shie, J.-J.; Fang, J.-M.; Kuo, T.-H.; Kuo, C.-J.; Liang, P.-H.;
Huang, H.-J.; Wu, Y.-T.; Jan, J.-T.; Cheng, Y.-S. E.; Wong, C.-H.
Inhibition of the severe acute respiratory syndrome 3CL protease by
peptidomimetic alpha, beta-unsaturated esters. Bioorg. Med. Chem.
2005, 13, 5240?5252.",
61,"ethyl (S,E)-4-((S)-2-((E)-3-(4-nitrophenyl)acrylamido)-3-phenylpropanamido)-5-phenylpent-2-enoate",,O=C(N[C@@H](CC1=CC=CC=C1)C(N[C@@H](CC2=CC=CC=C2)/C=C/C(OCC)=O)=O)/C=C/C3=CC=C([N+]([O-])=O)C=C3,IC50=5 ¦ÌM,"Shie, J.-J.; Fang, J.-M.; Kuo, T.-H.; Kuo, C.-J.; Liang, P.-H.;
Huang, H.-J.; Wu, Y.-T.; Jan, J.-T.; Cheng, Y.-S. E.; Wong, C.-H.
Inhibition of the severe acute respiratory syndrome 3CL protease by
peptidomimetic alpha, beta-unsaturated esters. Bioorg. Med. Chem.
2005, 13, 5240?5252.",
62,"ethyl (S,E)-4-((S)-2-((E)-3-(4-(dimethylamino)phenyl)acrylamido)-3-phenylpropanamido)-5-phenylpent-2-enoate",,O=C(N[C@@H](CC1=CC=CC=C1)C(N[C@@H](CC2=CC=CC=C2)/C=C/C(OCC)=O)=O)/C=C/C3=CC=C(N(C)C)C=C3,IC50=1 ¦ÌM,"Shie, J.-J.; Fang, J.-M.; Kuo, T.-H.; Kuo, C.-J.; Liang, P.-H.;
Huang, H.-J.; Wu, Y.-T.; Jan, J.-T.; Cheng, Y.-S. E.; Wong, C.-H.
Inhibition of the severe acute respiratory syndrome 3CL protease by
peptidomimetic alpha, beta-unsaturated esters. Bioorg. Med. Chem.
2005, 13, 5240?5252.",
63,"ethyl (S,E)-4-((S)-2-((E)-3-(2,4-dimethoxyphenyl)acrylamido)-3-phenylpropanamido)-5-phenylpent-2-enoate",,O=C(N[C@@H](CC1=CC=CC=C1)C(N[C@@H](CC2=CC=CC=C2)/C=C/C(OCC)=O)=O)/C=C/C3=C(OC)C=C(OC)C=C3,IC50=10 ¦ÌM,"Shie, J.-J.; Fang, J.-M.; Kuo, T.-H.; Kuo, C.-J.; Liang, P.-H.;
Huang, H.-J.; Wu, Y.-T.; Jan, J.-T.; Cheng, Y.-S. E.; Wong, C.-H.
Inhibition of the severe acute respiratory syndrome 3CL protease by
peptidomimetic alpha, beta-unsaturated esters. Bioorg. Med. Chem.
2005, 13, 5240?5252.",
64,"ethyl (S,E)-4-((S)-2-((E)-3-(benzo[d][1,3]dioxol-5-yl)acrylamido)-3-phenylpropanamido)-5-phenylpent-2-enoate",,O=C(N[C@@H](CC1=CC=CC=C1)C(N[C@@H](CC2=CC=CC=C2)/C=C/C(OCC)=O)=O)/C=C/C3=CC=C(OCO4)C4=C3,IC50=7 ¦ÌM,"Shie, J.-J.; Fang, J.-M.; Kuo, T.-H.; Kuo, C.-J.; Liang, P.-H.;
Huang, H.-J.; Wu, Y.-T.; Jan, J.-T.; Cheng, Y.-S. E.; Wong, C.-H.
Inhibition of the severe acute respiratory syndrome 3CL protease by
peptidomimetic alpha, beta-unsaturated esters. Bioorg. Med. Chem.
2005, 13, 5240?5252.",
65,"ethyl (S,E)-4-((S)-2-((E)-3-(benzo[d][1,3]dioxol-5-yl)acrylamido)-3-phenylpropanamido)-5-((S)-2-oxopyrrolidin-3-yl)pent-2-enoate",,O=C(N[C@@H](CC1=CC=CC=C1)C(N[C@@H](C[C@@H]2CCNC2=O)/C=C/C(OCC)=O)=O)/C=C/C3=CC=C(OCO4)C4=C3,IC50=10 ¦ÌM,"Shie, J.-J.; Fang, J.-M.; Kuo, T.-H.; Kuo, C.-J.; Liang, P.-H.;
Huang, H.-J.; Wu, Y.-T.; Jan, J.-T.; Cheng, Y.-S. E.; Wong, C.-H.
Inhibition of the severe acute respiratory syndrome 3CL protease by
peptidomimetic alpha, beta-unsaturated esters. Bioorg. Med. Chem.
2005, 13, 5240?5252.",
66,"ethyl (S,E)-4-((2R,5S)-2-benzyl-6-methyl-5-(5-methylisoxazole-3-carboxamido)-4-oxoheptanamido)-5-((S)-2-oxopyrrolidin-3-yl)pent-2-enoate",,CC1=CC(C(N[C@@H](C(C)C)C(C[C@@H](CC2=CC=CC=C2)C(N[C@@H](C[C@@H]3CCNC3=O)/C=C/C(OCC)=O)=O)=O)=O)=NO1,0.014 min-1,"Ghosh, A. K.; Xi, K.; Ratia, K.; Santarsiero, B. D.; Fu, W.;
Harcourt, B. H.; Rota, P. A.; Baker, S. C.; Johnson, M. E.; Mesecar, A.
D. Design and synthesis of peptidomimetic severe acute respiratory
syndrome chymotrypsin-like protease inhibitors. J. Med. Chem. 2005,
48, 6767?6770.",
67,"ethyl (S,E)-4-((2S,5S)-6-methyl-5-(5-methylisoxazole-3-carboxamido)-2-(2-methylprop-1-en-1-yl)-4-oxoheptanamido)-5-((S)-2-oxopyrrolidin-3-yl)pent-2-enoate",,CC1=CC(C(N[C@@H](C(C)C)C(C[C@@H](/C=C(C)/C)C(N[C@@H](C[C@@H]2CCNC2=O)/C=C/C(OCC)=O)=O)=O)=O)=NO1,0.045 min-1,"Ghosh, A. K.; Xi, K.; Ratia, K.; Santarsiero, B. D.; Fu, W.;
Harcourt, B. H.; Rota, P. A.; Baker, S. C.; Johnson, M. E.; Mesecar, A.
D. Design and synthesis of peptidomimetic severe acute respiratory
syndrome chymotrypsin-like protease inhibitors. J. Med. Chem. 2005,
48, 6767?6770.",
68,"ethyl (S,E)-4-((2R,4S,5S)-2-benzyl-4-hydroxy-6-methyl-5-(5-methylisoxazole-3-carboxamido)heptanamido)-5-((S)-2-oxopyrrolidin-3-yl)pent-2-enoate",,CC1=CC(C(N[C@@H](C(C)C)[C@@H](O)C[C@@H](CC2=CC=CC=C2)C(N[C@@H](C[C@@H]3CCNC3=O)/C=C/C(OCC)=O)=O)=O)=NO1,0.0025 min-2,"Ghosh, A. K.; Xi, K.; Ratia, K.; Santarsiero, B. D.; Fu, W.;
Harcourt, B. H.; Rota, P. A.; Baker, S. C.; Johnson, M. E.; Mesecar, A.
D. Design and synthesis of peptidomimetic severe acute respiratory
syndrome chymotrypsin-like protease inhibitors. J. Med. Chem. 2005,
48, 6767?6770.",
69,"ethyl (6S,9S,12S,15S,E)-12-benzyl-6-(hydroxymethyl)-9-isopropyl-2,2-dimethyl-4,7,10,13-tetraoxo-15-(((S)-2-oxopyrrolidin-3-yl)methyl)-3-oxa-5,8,11,14-tetraazaoctadec-16-en-18-oate",,O=C(N[C@@H](C(C)C)C(N[C@@H](CC1=CC=CC=C1)C(N[C@@H](C[C@@H]2CCNC2=O)/C=C/C(OCC)=O)=O)=O)[C@H](CO)NC(OC(C)(C)C)=O,IC50=15¦ÌM,"Ghosh, A. K.; Xi, K.; Grum-Tokars, V.; Xu, X.; Ratia, K.; Fu, W.;
Houser, K. V.; Baker, S. C.; Johnson, M. E.; Mesecar, A. D. Structurebased
design, synthesis, and biological evaluation of peptidomimetic
SARS-CoV 3CLpro inhibitors. Bioorg. Med. Chem. Lett. 2007, 17,
5876?5880.",
70,"ethyl (6S,9S,12R,15S,E)-6-(hydroxymethyl)-9-isopropyl-2,2-dimethyl-12-(3-methylbut-2-en-1-yl)-4,7,10,13-tetraoxo-15-(((S)-2-oxopyrrolidin-3-yl)methyl)-3-oxa-5,8,14-triazaoctadec-16-en-18-oate",,O=C([C@H](CO)NC(OC(C)(C)C)=O)N[C@@H](C(C)C)C(C[C@@H](C/C=C(C)\C)C(N[C@@H](C[C@@H]1CCNC1=O)/C=C/C(OCC)=O)=O)=O,IC50=80 ¦ÌM,"Ghosh, A. K.; Xi, K.; Grum-Tokars, V.; Xu, X.; Ratia, K.; Fu, W.;
Houser, K. V.; Baker, S. C.; Johnson, M. E.; Mesecar, A. D. Structurebased
design, synthesis, and biological evaluation of peptidomimetic
SARS-CoV 3CLpro inhibitors. Bioorg. Med. Chem. Lett. 2007, 17,
5876?5880.",
71,"ethyl (6S,9S,12S,15S,E)-6-(hydroxymethyl)-12-isobutyl-9-isopropyl-2,2-dimethyl-4,7,10,13-tetraoxo-15-(((S)-2-oxopyrrolidin-3-yl)methyl)-3-oxa-5,8,11,14-tetraazaoctadec-16-en-18-oate",,O=C([C@H](CO)NC(OC(C)(C)C)=O)N[C@@H](C(C)C)C(N[C@@H](CC(C)C)C(N[C@@H](C[C@@H]1CCNC1=O)/C=C/C(OCC)=O)=O)=O,IC50=10 ¦ÌM,"Ghosh, A. K.; Xi, K.; Grum-Tokars, V.; Xu, X.; Ratia, K.; Fu, W.;
Houser, K. V.; Baker, S. C.; Johnson, M. E.; Mesecar, A. D. Structurebased
design, synthesis, and biological evaluation of peptidomimetic
SARS-CoV 3CLpro inhibitors. Bioorg. Med. Chem. Lett. 2007, 17,
5876?5880.",
72,"(S)-4-((S)-2-((2S,3R)-2-((S)-2-acetamido-3-methylbutanamido)-3-(benzyloxy)butanamido)-4-methylpentanamido)-6-(1,4-dioxo-3,4-dihydrophthalazin-2(1H)-yl)-N,N-dimethyl-5-oxohexanamide",,O=C([C@H](C(C)C)NC(C)=O)N[C@@H]([C@H](OCC1=CC=CC=C1)C)C(N[C@@H](CC(C)C)C(N[C@@H](CCC(N(C)C)=O)C(CN2NC(C(C=CC=C3)=C3C2=O)=O)=O)=O)=O,IC50=64 ¦ÌM,"Jain, R. P.; Pettersson, H. I.; Zhang, J.; Aull, K. D.; Fortin, P. D.;
Huitema, C.; Eltis, L. D.; Parrish, J. C.; James, M. N. G.; Wishart, D. S.;
Vederas, J. C. Synthesis and evaluation of keto-glutamine analogues as
potent inhibitors of severe acute respiratory syndrome 3CLpro. J. Med.
Chem. 2004, 47, 6113?6116.",
73,"(S)-4-((S)-2-((2S,3R)-2-((S)-2-acetamido-3-methylbutanamido)-3-hydroxybutanamido)-4-methylpentanamido)-6-(1,4-dioxo-3,4-dihydrophthalazin-2(1H)-yl)-N,N-dimethyl-5-oxohexanamide",,O=C([C@H](C(C)C)NC(C)=O)N[C@@H]([C@H](O)C)C(N[C@@H](CC(C)C)C(N[C@@H](CCC(N(C)C)=O)C(CN1NC(C(C=CC=C2)=C2C1=O)=O)=O)=O)=O,IC50=28 ¦ÌM,"Jain, R. P.; Pettersson, H. I.; Zhang, J.; Aull, K. D.; Fortin, P. D.;
Huitema, C.; Eltis, L. D.; Parrish, J. C.; James, M. N. G.; Wishart, D. S.;
Vederas, J. C. Synthesis and evaluation of keto-glutamine analogues as
potent inhibitors of severe acute respiratory syndrome 3CLpro. J. Med.
Chem. 2004, 47, 6113?6116.",
74,"(S)-4-((S)-2-((2S,3R)-2-((S)-2-acetamido-3-methylbutanamido)-3-(benzyloxy)butanamido)-4-methylpentanamido)-N,N-dimethyl-6-(5-nitro-1,4-dioxo-3,4-dihydrophthalazin-2(1H)-yl)-5-oxohexanamide",,O=C([C@H](C(C)C)NC(C)=O)N[C@@H]([C@H](OCC1=CC=CC=C1)C)C(N[C@@H](CC(C)C)C(N[C@@H](CCC(N(C)C)=O)C(CN2NC(C(C([N+]([O-])=O)=CC=C3)=C3C2=O)=O)=O)=O)=O,IC50=70 ¦ÌM,"Jain, R. P.; Pettersson, H. I.; Zhang, J.; Aull, K. D.; Fortin, P. D.;
Huitema, C.; Eltis, L. D.; Parrish, J. C.; James, M. N. G.; Wishart, D. S.;
Vederas, J. C. Synthesis and evaluation of keto-glutamine analogues as
potent inhibitors of severe acute respiratory syndrome 3CLpro. J. Med.
Chem. 2004, 47, 6113?6116.",
75,"(S)-4-((S)-2-((2S,3R)-2-((S)-2-acetamido-3-methylbutanamido)-3-hydroxybutanamido)-4-methylpentanamido)-N,N-dimethyl-6-(5-nitro-1,4-dioxo-3,4-dihydrophthalazin-2(1H)-yl)-5-oxohexanamide",,O=C([C@H](C(C)C)NC(C)=O)N[C@@H]([C@H](O)C)C(N[C@@H](CC(C)C)C(N[C@@H](CCC(N(C)C)=O)C(CN1NC(C(C([N+]([O-])=O)=CC=C2)=C2C1=O)=O)=O)=O)=O,IC50=53 ¦ÌM,"Jain, R. P.; Pettersson, H. I.; Zhang, J.; Aull, K. D.; Fortin, P. D.;
Huitema, C.; Eltis, L. D.; Parrish, J. C.; James, M. N. G.; Wishart, D. S.;
Vederas, J. C. Synthesis and evaluation of keto-glutamine analogues as
potent inhibitors of severe acute respiratory syndrome 3CLpro. J. Med.
Chem. 2004, 47, 6113?6116.",
76,"(S)-2-((2S,3R)-2-((S)-2-acetamido-3-methylbutanamido)-3-(benzyloxy)butanamido)-N-((S)-4-(1,4-dioxo-3,4-dihydrophthalazin-2(1H)-yl)-3-oxo-1-((S)-2-oxopyrrolidin-3-yl)butan-2-yl)-4-methylpentanamide",,O=C1NCC[C@H]1C[C@@H](C(CN2NC(C(C=CC=C3)=C3C2=O)=O)=O)NC([C@H](CC(C)C)NC([C@H]([C@H](OCC4=CC=CC=C4)C)NC([C@H](C(C)C)NC(C)=O)=O)=O)=O,IC50=2.7 ¦ÌM,"Jain, R. P.; Pettersson, H. I.; Zhang, J.; Aull, K. D.; Fortin, P. D.;
Huitema, C.; Eltis, L. D.; Parrish, J. C.; James, M. N. G.; Wishart, D. S.;
Vederas, J. C. Synthesis and evaluation of keto-glutamine analogues as
potent inhibitors of severe acute respiratory syndrome 3CLpro. J. Med.
Chem. 2004, 47, 6113?6116.",
77,"(S)-2-((2S,3R)-2-((S)-2-acetamido-3-methylbutanamido)-3-hydroxybutanamido)-N-((S)-4-(1,4-dioxo-3,4-dihydrophthalazin-2(1H)-yl)-3-oxo-1-((S)-2-oxopyrrolidin-3-yl)butan-2-yl)-4-methylpentanamide",,O=C1NCC[C@H]1C[C@@H](C(CN2NC(C(C=CC=C3)=C3C2=O)=O)=O)NC([C@H](CC(C)C)NC([C@H]([C@H](O)C)NC([C@H](C(C)C)NC(C)=O)=O)=O)=O,IC50=2.9 ¦ÌM,"Jain, R. P.; Pettersson, H. I.; Zhang, J.; Aull, K. D.; Fortin, P. D.;
Huitema, C.; Eltis, L. D.; Parrish, J. C.; James, M. N. G.; Wishart, D. S.;
Vederas, J. C. Synthesis and evaluation of keto-glutamine analogues as
potent inhibitors of severe acute respiratory syndrome 3CLpro. J. Med.
Chem. 2004, 47, 6113?6116.",
78,"(S)-2-((2S,3R)-2-((S)-2-acetamido-3-methylbutanamido)-3-(benzyloxy)butanamido)-4-methyl-N-((S)-4-(5-nitro-1,4-dioxo-3,4-dihydrophthalazin-2(1H)-yl)-3-oxo-1-((S)-2-oxopyrrolidin-3-yl)butan-2-yl)pentanamide",,O=C1NCC[C@H]1C[C@@H](C(CN2NC(C(C([N+]([O-])=O)=CC=C3)=C3C2=O)=O)=O)NC([C@H](CC(C)C)NC([C@H]([C@H](OCC4=CC=CC=C4)C)NC([C@H](C(C)C)NC(C)=O)=O)=O)=O,IC50=0.60 ¦ÌM,"Jain, R. P.; Pettersson, H. I.; Zhang, J.; Aull, K. D.; Fortin, P. D.;
Huitema, C.; Eltis, L. D.; Parrish, J. C.; James, M. N. G.; Wishart, D. S.;
Vederas, J. C. Synthesis and evaluation of keto-glutamine analogues as
potent inhibitors of severe acute respiratory syndrome 3CLpro. J. Med.
Chem. 2004, 47, 6113?6116.",
79,"(S)-2-((2S,3R)-2-((S)-2-acetamido-3-methylbutanamido)-3-hydroxybutanamido)-4-methyl-N-((S)-4-(5-nitro-1,4-dioxo-3,4-dihydrophthalazin-2(1H)-yl)-3-oxo-1-((S)-2-oxopyrrolidin-3-yl)butan-2-yl)pentanamide",,O=C1NCC[C@H]1C[C@@H](C(CN2NC(C(C([N+]([O-])=O)=CC=C3)=C3C2=O)=O)=O)NC([C@H](CC(C)C)NC([C@H]([C@H](O)C)NC([C@H](C(C)C)NC(C)=O)=O)=O)=O,IC50=3.4 ¦ÌM,"Jain, R. P.; Pettersson, H. I.; Zhang, J.; Aull, K. D.; Fortin, P. D.;
Huitema, C.; Eltis, L. D.; Parrish, J. C.; James, M. N. G.; Wishart, D. S.;
Vederas, J. C. Synthesis and evaluation of keto-glutamine analogues as
potent inhibitors of severe acute respiratory syndrome 3CLpro. J. Med.
Chem. 2004, 47, 6113?6116.",
80,"(S)-N1,N4-bis((S)-1-((2-chloro-4-nitrophenyl)amino)-1-oxo-3-phenylpropan-2-yl)-2-hydroxysuccinamide",,O=C(C[C@H](O)C(N[C@@H](CC1=CC=CC=C1)C(NC2=CC=C([N+]([O-])=O)C=C2Cl)=O)=O)N[C@H](C(NC3=CC=C([N+]([O-])=O)C=C3Cl)=O)CC4=CC=CC=C4,3.1 ¦ÌM,"Shie, J. J.; Fang, J.-M.; Kuo, C.-J.; Kuo, T.-H.; Liang, P.-H.;
Huang, H.-J.; Yang, W.-B.; Lin, C.-H.; Chen, J.-L.; Wu, Y.-T.; Wong,
C.-H. Discovery of potent anilide inhibitors against the severe acute
respiratory syndrome 3CL protease. J. Med. Chem. 2005, 48, 4469?
4473.",
81,N-((S)-1-(((S)-1-(((S)-1-((2-chloro-4-nitrophenyl)amino)-1-oxo-3-phenylpropan-2-yl)amino)-4-methyl-1-oxopentan-2-yl)amino)-3-methyl-1-oxobutan-2-yl)thiophene-2-carboxamide,,O=C(C1=CC=CS1)N[C@@H](C(C)C)C(N[C@@H](CC(C)C)C(N[C@@H](CC2=CC=CC=C2)C(NC3=CC=C([N+]([O-])=O)C=C3Cl)=O)=O)=O,2.29 ¦ÌM,"Shie, J. J.; Fang, J.-M.; Kuo, C.-J.; Kuo, T.-H.; Liang, P.-H.;
Huang, H.-J.; Yang, W.-B.; Lin, C.-H.; Chen, J.-L.; Wu, Y.-T.; Wong,
C.-H. Discovery of potent anilide inhibitors against the severe acute
respiratory syndrome 3CL protease. J. Med. Chem. 2005, 48, 4469?
4473.",
82,N-((S)-1-(((S)-1-(((S)-1-((2-chloro-4-nitrophenyl)amino)-1-oxo-3-phenylpropan-2-yl)amino)-1-oxo-3-phenylpropan-2-yl)amino)-3-methyl-1-oxobutan-2-yl)-5-methylisoxazole-3-carboxamide,,O=C(C1=NOC(C)=C1)N[C@@H](C(C)C)C(N[C@@H](CC2=CC=CC=C2)C(N[C@@H](CC3=CC=CC=C3)C(NC4=CC=C([N+]([O-])=O)C=C4Cl)=O)=O)=O,2.90 ¦ÌM,"Shie, J. J.; Fang, J.-M.; Kuo, C.-J.; Kuo, T.-H.; Liang, P.-H.;
Huang, H.-J.; Yang, W.-B.; Lin, C.-H.; Chen, J.-L.; Wu, Y.-T.; Wong,
C.-H. Discovery of potent anilide inhibitors against the severe acute
respiratory syndrome 3CL protease. J. Med. Chem. 2005, 48, 4469?
4473.",
83,N-((S)-1-(((S)-1-(((S)-1-((2-chloro-4-nitrophenyl)amino)-1-oxo-3-phenylpropan-2-yl)amino)-1-oxo-3-phenylpropan-2-yl)amino)-3-methyl-1-oxobutan-2-yl)thiophene-2-carboxamide,,O=C(C1=CC=CS1)N[C@@H](C(C)C)C(N[C@@H](CC2=CC=CC=C2)C(N[C@@H](CC3=CC=CC=C3)C(NC4=CC=C([N+]([O-])=O)C=C4Cl)=O)=O)=O,4.3 ¦ÌM,"Shie, J. J.; Fang, J.-M.; Kuo, C.-J.; Kuo, T.-H.; Liang, P.-H.;
Huang, H.-J.; Yang, W.-B.; Lin, C.-H.; Chen, J.-L.; Wu, Y.-T.; Wong,
C.-H. Discovery of potent anilide inhibitors against the severe acute
respiratory syndrome 3CL protease. J. Med. Chem. 2005, 48, 4469?
4473.",
84,"N-((S)-1-(((S)-1-(((2S,3S)-1-(((S)-1-((2-chloro-4-nitrophenyl)amino)-1-oxo-3-phenylpropan-2-yl)amino)-3-hydroxy-1-oxobutan-2-yl)amino)-1-oxo-3-phenylpropan-2-yl)amino)-3-methyl-1-oxobutan-2-yl)-5-methylisoxazole-3-carboxamide",,O=C(N[C@@H]([C@H](C)O)C(N[C@@H](CC1=CC=CC=C1)C(NC2=CC=C([N+]([O-])=O)C=C2Cl)=O)=O)[C@H](CC3=CC=CC=C3)NC([C@H](C(C)C)NC(C4=NOC(C)=C4)=O)=O,1.61 ¦ÌM,"Shie, J. J.; Fang, J.-M.; Kuo, C.-J.; Kuo, T.-H.; Liang, P.-H.;
Huang, H.-J.; Yang, W.-B.; Lin, C.-H.; Chen, J.-L.; Wu, Y.-T.; Wong,
C.-H. Discovery of potent anilide inhibitors against the severe acute
respiratory syndrome 3CL protease. J. Med. Chem. 2005, 48, 4469?
4473.",
85,"benzyl ((S)-1-(((S)-1-(((2S,3S)-1-(((S)-1-((2-chloro-4-nitrophenyl)amino)-1-oxo-3-phenylpropan-2-yl)amino)-3-hydroxy-1-oxobutan-2-yl)amino)-1-oxo-3-phenylpropan-2-yl)amino)-3-methyl-1-oxobutan-2-yl)carbamate",,O=C(N[C@@H]([C@H](C)O)C(N[C@@H](CC1=CC=CC=C1)C(NC2=CC=C([N+]([O-])=O)C=C2Cl)=O)=O)[C@H](CC3=CC=CC=C3)NC([C@H](C(C)C)NC(OCC4=CC=CC=C4)=O)=O,1.51 ¦ÌM,"Shie, J. J.; Fang, J.-M.; Kuo, C.-J.; Kuo, T.-H.; Liang, P.-H.;
Huang, H.-J.; Yang, W.-B.; Lin, C.-H.; Chen, J.-L.; Wu, Y.-T.; Wong,
C.-H. Discovery of potent anilide inhibitors against the severe acute
respiratory syndrome 3CL protease. J. Med. Chem. 2005, 48, 4469?
4473.",
